Frame,clavicle_out_l_RelLoc_X,clavicle_out_l_RelLoc_Y,clavicle_out_l_RelLoc_Z,clavicle_out_r_RelLoc_X,clavicle_out_r_RelLoc_Y,clavicle_out_r_RelLoc_Z,thigh_out_l_RelLoc_X,thigh_out_l_RelLoc_Y,thigh_out_l_RelLoc_Z,thigh_out_r_RelLoc_X,thigh_out_r_RelLoc_Y,thigh_out_r_RelLoc_Z,calf_knee_l_RelLoc_X,calf_knee_l_RelLoc_Y,calf_knee_l_RelLoc_Z,calf_knee_r_RelLoc_X,calf_knee_r_RelLoc_Y,calf_knee_r_RelLoc_Z,state,angle_left_deg,angle_right_deg
70,16.02330399,-5.381630421,-0.726634264,-8.04350853,-15.34667206,-0.496596098,0.372511148,43.23992157,-9.151133537,-21.81737518,41.10594559,-7.053044319,29.17733765,59.134655,-51.62506104,-41.87901688,62.74864578,-52.26931763,stand up,78.95258462,29.11720344
71,15.53734398,-6.392159939,-1.484239101,-8.861505508,-14.98083591,0.262123346,2.099859715,43.20275879,-9.865114212,-20.06311989,42.04255295,-7.158625126,30.62412071,57.90057755,-53.11225128,-40.5478363,61.62593842,-53.16846466,stand up,77.8991289,35.17503693
72,14.94455051,-7.386392593,-2.190232277,-9.749468803,-14.40881348,0.947660208,3.813489437,43.06759644,-10.63802242,-18.27347183,42.88917923,-7.350697994,31.997118,56.5655899,-54.633461,-39.29566574,60.37334061,-54.00613022,stand up,76.85001925,41.78808273
73,14.20627785,-8.408416748,-2.927815914,-10.80043983,-13.56133938,1.33305192,5.665018559,43.05451965,-10.90559959,-16.33258247,43.7289238,-7.233438015,33.69132614,55.43882751,-55.4311409,-37.8361702,59.1898613,-54.47336578,stand up,75.58368235,48.76854008
74,13.36037636,-9.373818398,-3.620970249,-11.86208153,-12.49999714,1.806485653,7.52889061,42.94029617,-11.22372723,-14.34857655,44.46722412,-7.183885574,35.35062027,54.20793152,-56.2657547,-36.38737869,57.88246918,-54.88113022,stand up,74.31288171,56.17144675
75,12.53902912,-10.27288723,-4.192119598,-12.8199358,-11.37449551,1.96043849,9.369506836,43.1251297,-10.60624695,-12.55789089,45.27061844,-6.42478466,36.80317688,53.32461548,-56.1749649,-34.61959839,56.51747513,-54.75181198,stand up,73.00240749,63.25298201
76,11.63801003,-11.09181213,-4.76462841,-13.68831539,-10.10040188,2.173835039,11.2331171,43.21311569,-10.00847816,-10.73842239,45.97669983,-5.687755585,38.22727966,52.36077118,-56.09468079,-32.79133606,55.02926254,-54.54265594,stand up,71.7069332,70.69342713
77,10.89557743,-11.72698402,-5.269646645,-14.28128052,-9.035776138,2.06425786,12.57924271,43.48030853,-8.774745941,-9.514908791,46.69504929,-4.370588303,39.4512825,51.79113007,-55.0640564,-30.88474274,53.52864075,-53.9375,stand up,71.06770789,77.15521361
78,10.10059452,-12.29341984,-5.798870087,-14.75122833,-8.04556942,1.904720068,13.94099045,43.66613007,-7.541176796,-8.282711029,47.32705307,-3.058671951,40.64364624,51.1499939,-54.04234695,-28.88415718,51.93455124,-53.23952866,stand up,70.4176444,84.05627784
79,9.573986053,-12.56223488,-6.26076746,-15.04610443,-7.492617607,1.426154375,14.84922314,43.98685455,-5.933582783,-7.51451683,47.85959244,-1.502710581,41.74283218,50.7736969,-52.38211823,-27.25116539,50.18041229,-52.20692825,stand up,70.50715206,91.04188175
80,9.268789291,-12.59304428,-6.650581837,-15.23188686,-7.418503761,0.872159004,15.51345634,44.43742752,-3.954076767,-7.02008152,48.30886841,0.110405684,42.97356033,50.36778259,-50.1335144,-25.86663055,48.1724205,-50.96142197,stand up,71.56459174,98.79740572
